Spouse,Children,HouseholdMemberCare,NonHouseholdMemberCare,Education,ACT_FOOD,ACT_GOVSERV,ACT_HHACT,ACT_HHSERV,PersonnalCare,ACT_PHONE,ACT_PROFSERV,ACT_PURCH,ACT_RELIG,Social,ACT_SPORTS,ACT_TRAVEL,Volunteering,ACT_WORK
1.0,0.0,6.117483627703909,12.000330753456373,3.1045180922140636,74.69636832704902,0.24151617384401666,139.71694119203545,1.036912085731296,572.300257987696,4.66236687173381,5.364159555467355,25.468214592842497,15.957663557584176,331.0111794668254,18.44645101541311,67.55282132698287,11.652642720116425,138.23258583052194
1.0,1.0,71.17397056391599,4.313874648586076,6.387134116090624,69.74880105837606,0.29088804365801224,121.50471308086655,0.5753266082354886,563.230692905573,2.970729287249876,3.138581114602282,27.650405159583265,10.917314370762362,226.73325616007938,20.25764842070448,78.82156441210518,8.336861253514138,212.5243922606251
1.0,2.0,94.50771987868762,3.6866556382685416,4.9728425696167635,71.33457402812242,0.21698373311276536,130.05169561621176,0.7048524951750759,552.5723738626964,2.9579542321477805,3.1619795974634686,27.115384615384617,10.795974634684312,209.70843672456576,22.06189688447753,80.56989247311827,11.240281224152191,201.79859387923904
1.0,3.0,107.06992739778372,3.1050821551394727,6.106610622850592,70.48146732900267,0.26175009552923195,133.91364157432173,0.7925105082155139,544.9568207871608,2.6090943828811617,2.3247993886129157,26.483377913641576,12.73557508597631,199.31753916698509,20.901031715705006,84.02330913259458,12.19335116545663,200.15628582346199
1.0,4.0,114.31752873563218,2.8836206896551726,5.392241379310345,67.18103448275862,0.20114942528735633,150.73706896551724,0.985632183908046,538.2686781609195,2.3505747126436782,3.288793103448276,22.330459770114942,15.830459770114942,194.2528735632184,18.182471264367816,73.14224137931035,13.824712643678161,205.03735632183907
2.0,0.0,6.447909754479098,8.937624419376244,14.885202388852024,68.24485733244857,0.384870603848706,107.4293297942933,0.7485069674850697,575.8334439283344,3.9389515593895155,3.220968812209688,28.035832780358326,3.665560716655607,293.2694094226941,22.579960185799603,76.64100862641008,7.911081619110816,209.02189781021897
2.0,1.0,79.72168905950096,5.418426103646833,9.527831094049905,57.05374280230326,0.29558541266794625,121.46641074856046,0.33013435700575816,589.3358925143954,3.042226487523992,2.9347408829174664,29.293666026871403,3.3877159309021114,249.02303262955854,17.587332053742802,69.97504798464492,3.474088291746641,188.32053742802304
2.0,2.0,103.08403361344538,4.243697478991597,8.38935574229692,61.73669467787115,0.8739495798319328,129.25210084033614,0.4481792717086835,579.5882352941177,2.2521008403361344,2.9831932773109244,23.87955182072829,4.030812324929972,237.7422969187675,19.764705882352942,66.45098039215686,2.2969187675070026,182.15686274509804
2.0,3.0,111.16666666666667,8.03968253968254,4.690476190476191,53.76190476190476,0.0,138.93650793650792,2.261904761904762,576.4603174603175,1.2222222222222223,1.5476190476190477,35.73809523809524,4.4603174603174605,270.2063492063492,15.523809523809524,80.41269841269842,2.6587301587301586,120.1984126984127
2.0,4.0,130.25641025641025,0.38461538461538464,14.871794871794872,60.35897435897436,0.0,115.41025641025641,0.0,552.4871794871794,1.9230769230769231,4.615384615384615,47.82051282051282,3.8461538461538463,262.84615384615387,11.153846153846153,91.23076923076923,0.38461538461538464,133.28205128205127
3.0,0.0,3.153225227810863,10.176544450025114,27.332352730142784,61.98403530171486,0.3905431584989596,102.33246035732223,0.8556360766305517,597.3217335151037,10.197316495659036,5.068343258950994,21.26677190213102,14.20169333429002,353.2379278180383,20.15627466456196,63.922544306522205,8.357322235775275,127.92344119968429
3.0,1.0,58.310344827586206,7.151563753007217,10.710104250200482,55.01002405773857,0.7345629510825983,116.70128307939054,0.7959101844426624,595.3099438652766,6.090617481956696,5.046110665597434,24.786688051323175,8.674819566960705,238.9655172413793,15.864875701684042,75.84282277465918,5.057738572574178,204.36848436246993
3.0,2.0,90.07611731843575,4.800279329608938,9.14594972067039,55.42039106145251,1.0391061452513966,131.49650837988827,1.1075418994413408,581.7786312849162,5.296787709497207,4.490921787709497,27.150837988826815,10.884776536312849,221.46927374301677,12.93086592178771,76.22695530726257,6.772346368715084,186.52932960893855
3.0,3.0,109.79960317460318,3.9464285714285716,13.293650793650794,54.33531746031746,1.0714285714285714,140.74603174603175,0.8630952380952381,583.1031746031746,6.948412698412699,5.1686507936507935,26.25793650793651,10.079365079365079,204.55753968253967,14.472222222222221,74.52579365079364,7.686507936507937,166.4702380952381
3.0,4.0,128.75316455696202,4.8354430379746836,4.7025316455696204,56.80379746835443,0.8924050632911392,150.79746835443038,1.5,593.9240506329114,3.329113924050633,4.0886075949367084,27.772151898734176,13.860759493670885,201.5506329113924,6.063291139240507,70.4746835443038,10.329113924050633,148.65822784810126
